state,positive,negative,pending,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,recovered,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,death
AK,279375.0,19056577.0,68.0,3550.0,0.0,269.0,102026.0,688.0,19335848.0,145310.0,9022432.0,279375.0,2226.0,0.0,2487.0
AL,6952817.0,54301949.0,132.0,129413.0,0.0,0.0,2832292.0,770916.0,61018482.0,0.0,0.0,6724108.0,137641.0,3771.0,145945.0
AR,3390902.0,40228104.0,809.0,41077.0,0.0,9359.0,2735853.0,240749.0,43624895.0,0.0,14476382.0,3391570.0,0.0,0.0,42352.0
AZ,12507547.0,64613750.0,1095.0,226385.0,71182.0,47333.0,1767718.0,1112253.0,77056205.0,12089.0,0.0,11200509.0,232736.0,14117.0,294870.0
CA,40225991.0,616163370.0,815100.0,874519.0,249214.0,0.0,0.0,0.0,656387606.0,0.0,0.0,39468806.0,0.0,0.0,895803.0
CO,4801313.0,42377978.0,100.0,77503.0,0.0,0.0,585828.0,729440.0,0.0,0.0,0.0,4259393.0,0.0,0.0,192971.0
CT,6178509.0,64605229.0,8.0,93482.0,0.0,0.0,975283.0,1338875.0,70728434.0,0.0,0.0,4161431.0,374648.0,82725.0,543272.0
DC,1376175.0,14908166.0,88.0,27942.0,7300.0,5601.0,555229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67466.0
DE,1576638.0,14392329.0,128.0,20314.0,786.0,0.0,829023.0,0.0,0.0,0.0,0.0,1094959.0,57915.0,7676.0,65591.0
FL,33845883.0,268917801.0,318995.0,382521.0,0.0,0.0,0.0,2538171.0,368701115.0,41484900.0,325734424.0,33216882.0,630790.0,0.0,653251.0
GA,15658676.0,122012395.0,0.0,234391.0,0.0,0.0,0.0,1791991.0,137582657.0,12765701.0,111773216.0,15226644.0,0.0,0.0,402999.0
